StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
PA,2023,Q3,1955575.21,1491326.82,167782.68,33689.05,,1567.51,505291.16
RI,2023,Q3,18348.17,,,7870.1,0.0,,5580.46
SC,2023,Q3,,,,13937.19,,,
SD,2023,Q3,4250.4,,,3595.08,0.0,,2517.78
TN,2023,Q3,470878.96,333570.93,,16894.69,0.0,543.93,216671.58
TX,2023,Q3,4933800.18,4198040.65,211518.27,38948.57,,1294.72,994007.54
UT,2023,Q3,33605.43,,,7044.48,0.0,,15138.78
VT,2023,Q3,65727.24,36653.96,,7342.64,0.0,,15770.51
VA,2023,Q3,3631188.85,3119724.72,210800.04,40053.84,,824.72,626004.72
WA,2023,Q3,156378.82,61627.47,43286.85,34054.83,,899.77,48164.73
WV,2023,Q3,3371.39,,,2939.19,0.0,,1159.94
WI,2023,Q3,2551272.96,2236581.98,,24105.05,,,805683.86
WY,2023,Q3,11481.23,,,4369.05,0.0,,5660.45
